name,lat,lon
Mrkosova,50.00721,14.38089
V Sedlci,50.128204,14.394781
Norbertov,50.09115,14.377741
Starolázeňská,50.01609,14.389594
Kajetánka,50.086704,14.37145
Terasy,50.036964,14.400169
Praha-Jinonice,50.055588,14.371966
Stará Libuš,50.008102,14.462875
Nemocnice Bubeneč,50.10775,14.401875
Radošovická,50.06684,14.495903
Vackova,50.0448,14.315292
Pod Ryšánkou,50.03672,14.426909
Přístaviště,50.039806,14.409684
Chotkovy sady,50.095165,14.409044
Krahulčí,50.107426,14.603806
Masarykovo nádraží,50.08798,14.432547
Hasova,50.015366,14.426987
Praha-Krč,50.03418,14.445969
Pražského povstání,50.05615,14.43443
Sportovní centrum Horní Počernice,50.10898,14.610184
Nádraží Dolní Počernice,50.087135,14.57186
U Labutě,50.035786,14.456119
Prašný most,50.09482,14.395074
Náměstí Míru,50.07506,14.438079
Modřanská škola,50.009068,14.403147
Pilovská,50.08194,14.64875
Ústřední dílny DP,50.074444,14.532297
Zelená liška,50.048607,14.4433
Sídliště Na Dědině,50.08964,14.309497
Zderazská,49.980644,14.348228
Malešické náměstí,50.08501,14.511184
Bubenská,50.098103,14.436589
Komořany,49.99132,14.410687
Uhříněveský hřbitov,50.02794,14.615692
Jesenická,50.057205,14.493589
Šporkova,50.0874,14.398101
Šatovka,50.117523,14.374884
Náměstí Olgy Scheinpflugové,50.03022,14.361761
Litovický potok,50.088646,14.326757
Nemocnice Bulovka - onkologie,50.116917,14.46277
Filmové ateliéry Barrandov,50.031044,14.392094
Ronešova,50.107174,14.565883
Můstek,50.08347,14.423973
Lohenická,50.149033,14.586884
U Střediska,50.058662,14.557749
Jiřího z Poděbrad,50.077526,14.44971
Sedlecký přívoz,50.13335,14.393368
Archeologická,50.044117,14.337817
Průchova,50.062492,14.366192
Newtonova,50.035065,14.551926
Stodůlky-Bavorská,50.054367,14.310517
Cholupický vrch,49.994316,14.434692
Nárožní,50.05342,14.330021
Baterie,50.092396,14.369619
Královice,50.03704,14.635599
Za Tratí,50.167107,14.519106
Spořilov,50.049614,14.482175
Písečná,50.12574,14.443515
Zadní Kopanina,50.006626,14.312903
Morseova,50.03511,14.558902
Novoštěrboholská,50.074425,14.561121
Mílová,50.010017,14.466774
Nádraží Ruzyně,50.085545,14.307989
Radouňova,50.0395,14.317528
Kuchyňka,50.11699,14.450306
Podbělohorská,50.075226,14.372855
Observatoř Libuš,50.00665,14.446491
Bělocerkevská,50.071896,14.470332
Budějovická,50.045063,14.448213
Na Mlýnku,50.111935,14.373442
Balkán,50.094803,14.496246
Nové náměstí,50.03168,14.598007
Škola Slivenec,50.02012,14.355209
Hotel Golf,50.068066,14.346725
Nádraží Vysočany,50.11023,14.499046
Praha-Cibulka,50.064575,14.362176
Smaragdová,50.02648,14.36071
Žabovřeská,49.970284,14.385684
Kamenolom Zbraslav,49.959675,14.394268
Dolní Černošice,49.96297,14.332371
Hrnčíře,49.998356,14.517169
U Ladronky,50.07987,14.362095
Moráň,50.074024,14.418731
Divadlo Na Fidlovačce,50.06474,14.436709
Kobrova,50.076134,14.398609
Hostýnská,50.081192,14.495524
Červeňanského,50.03896,14.33521
Obchodní centrum Čakovice,50.14997,14.508225
Nový Slivenec,50.02646,14.373516
Nádraží Vršovice,50.066055,14.448021
Na Jelenách,50.02214,14.500086
Praha-Stodůlky,50.062206,14.346108
Na Planině,50.03955,14.430239
Škola Nebušice,50.11093,14.330694
Sídliště Čimice,50.14411,14.432021
Nádraží Kyje,50.097424,14.542738
Za Skalkou,50.045616,14.419361
Bazovského,50.06716,14.307558
Kardausova,50.066574,14.553082
Na Fabiánce,50.16111,14.483528
Xaverovský háj,50.101166,14.619526
Pod Vinicí,50.055576,14.483793
Vackov,50.0869,14.486251
Pařížská,50.089428,14.419112
Příborská,50.131424,14.511038
Třebenická,50.129326,14.481306
Klamovka,50.070824,14.379892
K Horoměřicům,50.13231,14.368738
Horčičkova,50.03189,14.534076
Na Lhotkách,49.95334,14.368297
Koleje Jižní Město,50.01724,14.499903
Ukrajinská,50.064995,14.452527
Dlouhá třída,50.091103,14.42772
Ke Kazínu,49.956413,14.342335
Správa sociálního zabezpečení,50.05928,14.405902
Polešovická,50.079132,14.653813
Ruzyňský velkoobchod,50.086338,14.313685
Náměstí Republiky,50.088745,14.43012
Schengenská,50.105827,14.272376
Paceřická,50.119507,14.610931
Poliklinika Černý Most,50.107628,14.572517
U Průseku,50.059113,14.516964
Dolnoměcholupská,50.06006,14.557747
Kavčí hory,50.049526,14.42894
Kněžská luka,50.092117,14.493246
Praha-Braník,50.02802,14.406996
Ortenovo náměstí,50.10772,14.447826
Voňkova,50.09857,14.668009
Maškův mlýn,49.99888,14.318501
Hlávkova,50.036404,14.314268
K Netlukám,50.033173,14.609339
Bachova,50.031292,14.508966
Frančíkova,50.01059,14.356875
Rápošovská,50.07734,14.654314
Zborov - Strašnické divadlo,50.07728,14.500641
Hornocholupická,49.997475,14.424934
U Dálnice,50.020493,14.507401
Řezáčovo náměstí,50.100765,14.4372
Na Havránce,50.00626,14.409826
Olšanské hřbitovy,50.07795,14.466933
Malý Berlín,50.102543,14.435037
Vysočanská,50.11072,14.502219
Milevská,50.048615,14.430271
Vinoř,50.151756,14.591041
Drobná,50.072865,14.556255
Průhonský háj,50.109955,14.341291
Holyně,50.027084,14.358055
U Libušského potoka,50.005882,14.423851
Komárovská,50.11531,14.62145
Nuselská radnice,50.062866,14.441591
Dědinova,50.03391,14.483525
Štěpnice,50.127953,14.367742
Hůrka,50.049637,14.341648
Továrny Hostivař,50.05634,14.54283
K Austisu,50.02118,14.341137
Koleje Větrník,50.088764,14.351196
Poštovka,50.068504,14.353862
Maniny,50.103294,14.453264
Čimice,50.14081,14.430658
Botanická zahrada Malešice,50.08867,14.513969
Depo Hostivař,50.07664,14.516783
IKEM,50.0217,14.462351
Lukášova,50.088074,14.457593
Nepasické náměstí,50.103767,14.658772
Nad Trojou,50.120354,14.439337
Livornská,50.04114,14.551817
U Spojů,50.145668,14.475275
Hříbková,50.020508,14.580193
Lipovická,49.996735,14.467608
Lhotecký les,50.01565,14.43726
Hlohová,50.056393,14.502134
Korek,50.10578,14.360159
Pekárenská,50.04945,14.46395
Lotyšská,50.104263,14.39496
Nová Šárka,50.092957,14.314729
Polygrafická,50.080196,14.519486
Františka Veselého,50.12181,14.621569
K Cikánce,49.997627,14.341734
Vidoule,50.055237,14.36475
K Juliáně,50.117786,14.301151
Velká Chuchle,50.01215,14.380734
Dobronická,50.011017,14.471958
Pod Krocínkou,50.114006,14.511842
Bílá Hora,50.07568,14.323181
Václavské náměstí,50.081818,14.425506
Letňanská,50.122997,14.507336
Nové Komořany,49.992447,14.41968
Čakovický zámek,50.151684,14.521517
Nové Strašnice,50.07792,14.510193
Karlštejnská,50.052643,14.359049
Apolinářská,50.07151,14.426756
Rájecká,50.02524,14.601827
Povltavská,50.116077,14.433817
U Kundratky,50.11782,14.487756
Tempo,50.020035,14.451962
Na Formance,50.016663,14.530283
Vojenská nemocnice,50.091713,14.360064
Vlastibořská,50.1203,14.598816
Strossmayerovo náměstí,50.09891,14.433265
Škola Dolní Počernice,50.088577,14.581316
Staroměstské náměstí,50.087936,14.420891
Sídliště Zbraslav,49.96811,14.384634
Vinohradská tržnice,50.077057,14.442047
Svatoňovická,50.083946,14.574297
Přístav Radotín,49.994415,14.39349
Za Mototechnou,50.05896,14.328106
Na Sklonku,50.06687,14.364227
Praha-Smíchov,50.06131,14.40813
Strnady,49.94565,14.394558
Sídliště Spořilov,50.04779,14.490209
Nový Hloubětín,50.109737,14.529731
Fashion Arena Štěrboholy,50.07469,14.540369
Netřebická,50.129303,14.572818
Na Lukách,50.097538,14.51162
Radlická,50.058594,14.388903
Praha-Veleslavín,50.094994,14.346188
Miškovice,50.155987,14.541626
Vinice Dolní Počernice,50.085842,14.601168
Právnická fakulta,50.091476,14.417732
Praha-Hlubočepy,50.0407,14.393867
Malostranská,50.091072,14.41006
Lahovický most,49.995434,14.398083
Nemocnice Na Františku,50.093002,14.422155
Nymburská,50.126747,14.558483
Jordánská,50.11104,14.562793
U Školy,50.043842,14.421676
U Matěje,50.112236,14.380026
Stodůlky,50.046642,14.307148
Stará Holyně,50.029705,14.356933
Klárův ústav,50.028,14.456942
Slatiňanská,50.10814,14.591312
Laurová,50.061222,14.398432
Tusarova,50.10073,14.450172
Dolní Počernice,50.08524,14.576954
U Zvoničky,50.010407,14.46028
Poliklinika Lípa,50.051235,14.346623
U Blaženky,50.06793,14.384913
Nad Běchovicemi,50.09237,14.623601
Horky,50.06156,14.446262
Výhledy,50.13719,14.368688
Kbelský pivovar,50.130486,14.547281
Nad Jetelkou,50.115276,14.496156
Kamýcká,50.130364,14.382275
Skloněná,50.100334,14.487579
